,species_number,family
672,696,Astacidae
673,697,Bullinidae
674,698,Bufonidae
675,699,Chaetophoraceae
676,700,Rajidae
677,701,Paralichthyidae
678,702,Corydalidae
679,703,Tortanidae
680,704,Salamandridae
681,705,Viviparidae
682,706,
683,707,Batrachoididae
684,708,Cobitidae
685,709,Culicidae
686,710,Pectinidae
687,711,Gammaridae
688,712,Gammaridae
689,713,Bagridae
690,714,Palaemonidae
691,715,Cyprinidae
692,716,Spionidae
693,717,Sciomyzidae
694,718,Penaeidae
695,719,Lymnaeidae
696,720,Ephemerellidae
697,721,Diaptomidae
698,722,Cyclopidae
699,723,Ostreidae
700,726,Pontederiaceae
701,727,Cyprinidae
702,728,Cypridopsidae
703,729,Corbiculidae
704,730,Palaemonidae
705,731,Blenniidae
706,732,Palaemonidae
707,733,Nephropidae
708,734,Majidae
709,735,Mysidae
710,736,Salmonidae
711,737,Pandalidae
712,738,Veneridae
713,739,Tellinidae
714,740,Pseudodiaptomidae
715,741,Aeshnidae
716,742,Libellulidae
717,743,Serranidae
718,744,Nereididae
719,745,Ocypodidae
720,746,Strongylocentrotidae
721,747,Arenicolidae
722,748,Mysidae
723,749,Mugilidae
724,751,Isonychiidae
725,752,Pleuroceridae
726,753,Ranidae
727,754,Unionidae
728,755,Notonectidae
729,756,Corduliidae
730,757,Planariidae
731,758,Cyclopidae
732,759,Cyprinidae
733,760,Sciomyzidae
734,761,Labridae
735,762,Planariidae
736,763,Ocypodidae
737,764,Bufonidae
738,765,Bufonidae
739,766,Gobiidae
740,767,Gobiidae
741,768,Pharidae
742,769,Semelidae
743,770,Naticidae
744,771,Balanidae
745,772,Corophiidae
746,773,Spionidae
747,774,Spionidae
748,775,
749,777,Hydropsychidae
750,778,Limnephilidae
751,779,Uenoidae
752,780,Brachycentridae
753,781,Brachycentridae
754,782,Lepidostomatidae
755,783,Helicopsychidae
756,784,Ostreidae
757,785,Perlidae
758,786,Pteronarcyidae
759,787,Capniidae
760,788,Nemouridae
761,789,Perlodidae
762,790,Acrosiphoniaceae
763,791,Potamanthidae
764,792,Heptageniidae
765,793,Heptageniidae
766,794,Baetiscidae
767,795,Leptophlebiidae
768,796,Ephemerellidae
769,797,Elmidae
770,798,Elmidae
771,799,Dryopidae
772,800,Dytiscidae
773,801,Psephenidae
774,802,Corduliidae
775,803,Gomphidae
776,804,Coenagrionidae
777,805,Corydalidae
778,806,Tipulidae
779,807,Athericidae
780,808,Cyprinidae
781,809,Unionidae
782,810,Scyliorhinidae
783,811,Osphronemidae
784,812,Ranidae
785,813,
786,814,Soritidae
787,815,Caulerpaceae
788,816,Codiaceae
789,817,Gobiidae
790,819,Didemnidae
791,820,Pyuridae
792,821,Clavelinidae
793,822,Styelidae
794,823,Ostreidae
795,824,Tridacnidae
796,826,Tridacnidae
797,827,Pteriidae
798,828,Ostreidae
799,829,Ostreidae
800,830,Potamogetonaceae
801,831,Pectinidae
802,832,Mytilidae
803,833,Nephtyidae
804,834,Nephtyidae
805,835,Pectinariidae
806,836,Daphniidae
807,837,Menippidae
808,838,Cryptomonadaceae
809,839,Centrarchidae
810,840,Spionidae
811,841,Oweniidae
812,842,Culicidae
813,843,Hydrophilidae
814,844,Belostomatidae
815,845,Dytiscidae
816,846,Hydrophilidae
817,847,Dytiscidae
818,848,Dytiscidae
819,849,Hydrophilidae
820,850,Moronidae
821,851,Idoteidae
822,852,Cyprinidae
823,853,Arenicolidae
824,854,Cyprinodontidae
825,856,Chlorodendraceae
826,857,Corixidae
827,858,Corixidae
828,859,Ephemerellidae
829,860,Cyprinidae
830,861,Cyclopidae
831,862,Echinidae
832,864,Atyidae
833,865,Chromadoridae
834,866,Polyodontidae
835,867,Kyphosidae
836,868,Engraulidae
837,869,Tubificidae
838,870,Cyprinidae
839,871,Asplanchnidae
840,872,Euplotidae
841,873,Simuliidae
842,874,Cyprididae
843,875,Toxopneustidae
844,876,Pectinatellidae
845,877,Plumatellidae
846,878,Salviniaceae
847,879,
848,880,
849,881,Orbiniidae
850,882,Sciaenidae
851,883,Clupeidae
852,884,Bothidae
853,885,Salmonidae
854,886,Capitellidae
855,887,Potamidae
856,888,Acipenseridae
857,889,Acipenseridae
858,890,Acipenseridae
859,891,Percidae
860,892,Ictaluridae
861,893,Ambystomatidae
862,894,Clupeidae
863,895,Mactridae
864,896,Cambaridae
865,897,Vorticellidae
866,898,Pleuroceridae
867,899,Physidae
868,900,Percidae
869,901,Moinidae
870,902,Cyprididae
871,903,Ampullariidae
872,904,Ranidae
873,905,Planorbidae
874,906,Catenulaceae
875,907,Poaceae
876,908,Portunidae
877,909,Hydrocharitaceae
878,910,Potamogetonaceae
879,911,Potamogetonaceae
880,912,Perlidae
881,913,Perlodidae
882,914,Oocystaceae
883,915,Poeciliidae
884,917,Haliplidae
885,918,Notonectidae
886,919,Lestidae
887,920,Monhysteridae
888,921,Laophontidae
889,922,Carangidae
890,923,Notonectidae
891,924,Corbiculidae
892,925,Salmonidae
893,926,Ancylidae
894,927,Naididae
895,928,Chironomidae
896,929,Hydroptilidae
897,930,Gymnodiniaceae
898,931,Gymnodiniaceae
899,932,Asellidae
900,933,Naviculaceae
901,934,Chroococcaceae
902,935,Stenopsychidae
903,936,Macrostomidae
904,937,Convolutidae
905,938,Monocelididae
906,939,Gnathorhynchidae
907,940,
908,941,Promesostomidae
909,942,Protomonotresidae
910,943,Solenofilomorphidae
911,944,Haploposthiidae
912,945,
913,946,Oocystaceae
914,947,Glossiphoniidae
915,948,Glossiphoniidae
916,949,Chironomidae
917,950,Arcticidae
918,951,Neodasyidae
919,952,Macrodasyidae
920,953,Turbanellidae
921,954,Lepidodasyidae
922,955,Gnathostomulidae
923,956,Gnathostomulidae
924,957,Mesognathariidae
925,958,Austrognathiidae
926,959,Desmodoridae
927,960,Ranunculaceae
928,961,Haloragaceae
929,962,Oocystaceae
930,963,Daphniidae
931,964,Chironomidae
932,965,Ictaluridae
933,966,Tetraodontidae
934,967,Catostomidae
935,968,Lepisosteidae
936,969,Ictaluridae
937,970,Ambystomatidae
938,971,Ambystomatidae
